"City name",Categories,Permalink,"Water Quality"
Boulder,"North America>United States of America>Colorado",https://www.canyoudrinktapwaterin.com/is-boulder-tap-water-safe-to-drink/,50
"Bowling Green","North America>United States of America>Kentucky",https://www.canyoudrinktapwaterin.com/is-bowling-green-tap-water-safe-to-drink/,0
"Boynton Beach","North America>United States of America>Florida",https://www.canyoudrinktapwaterin.com/is-boynton-beach-tap-water-safe-to-drink/,
Bozeman,"North America>United States of America>Montana",https://www.canyoudrinktapwaterin.com/is-bozeman-tap-water-safe-to-drink/,97
Bradenton,"North America>United States of America>Florida",https://www.canyoudrinktapwaterin.com/is-bradenton-tap-water-safe-to-drink/,57
Brainerd,"North America>United States of America>Minnesota",https://www.canyoudrinktapwaterin.com/is-brainerd-tap-water-safe-to-drink/,50
Brea,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-brea-tap-water-safe-to-drink/,
Bremerton,"North America>United States of America>Washington",https://www.canyoudrinktapwaterin.com/is-bremerton-tap-water-safe-to-drink/,50
Brentwood,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-brentwood-tap-water-safe-to-drink/,
Brentwood,"North America>United States of America>Tennessee",https://www.canyoudrinktapwaterin.com/is-brentwood-tap-water-safe-to-drink-2/,
Bridgeport,"North America>United States of America>Connecticut",https://www.canyoudrinktapwaterin.com/is-bridgeport-tap-water-safe-to-drink/,
Bridgewater,"North America>United States of America>Massachusetts",https://www.canyoudrinktapwaterin.com/is-bridgewater-tap-water-safe-to-drink/,
Bronx,"North America>United States of America>New York",https://www.canyoudrinktapwaterin.com/is-bronx-tap-water-safe-to-drink/,
Brookhaven,"North America>United States of America>Mississippi",https://www.canyoudrinktapwaterin.com/is-brookhaven-tap-water-safe-to-drink/,
Brooklyn,"North America>United States of America>New York",https://www.canyoudrinktapwaterin.com/is-brooklyn-tap-water-safe-to-drink/,68
Brownsville,"North America>United States of America>Texas",https://www.canyoudrinktapwaterin.com/is-brownsville-tap-water-safe-to-drink/,20
Brunswick,"North America>United States of America>Georgia",https://www.canyoudrinktapwaterin.com/is-brunswick-tap-water-safe-to-drink/,67
Buffalo,"North America>United States of America>New York",https://www.canyoudrinktapwaterin.com/is-buffalo-tap-water-safe-to-drink/,63
"Bullhead City","North America>United States of America>Arizona",https://www.canyoudrinktapwaterin.com/is-bullhead-city-tap-water-safe-to-drink/,
Burbank,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-burbank-tap-water-safe-to-drink/,
Burley,"North America>United States of America>Idaho",https://www.canyoudrinktapwaterin.com/is-burley-tap-water-safe-to-drink/,
Burlington,"North America>United States of America>Iowa",https://www.canyoudrinktapwaterin.com/is-burlington-tap-water-safe-to-drink/,63
Burlington,"North America>United States of America>Vermont",https://www.canyoudrinktapwaterin.com/is-burlington-tap-water-safe-to-drink-2/,75
Butte,"North America>United States of America>Montana",https://www.canyoudrinktapwaterin.com/is-butte-tap-water-safe-to-drink/,44
Camarillo,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-camarillo-tap-water-safe-to-drink/,
Cambridge,"North America>United States of America>Massachusetts",https://www.canyoudrinktapwaterin.com/is-cambridge-tap-water-safe-to-drink/,68
"Canoga Park","North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-canoga-park-tap-water-safe-to-drink/,
Canton,"North America>United States of America>Ohio",https://www.canyoudrinktapwaterin.com/is-canton-tap-water-safe-to-drink/,75
"Cape Girardeau","North America>United States of America>Missouri",https://www.canyoudrinktapwaterin.com/is-cape-girardeau-tap-water-safe-to-drink/,
Carbondale,"North America>United States of America>Illinois",https://www.canyoudrinktapwaterin.com/is-carbondale-tap-water-safe-to-drink/,
Carlsbad,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-carlsbad-tap-water-safe-to-drink/,58
Carlsbad,"North America>United States of America>New Mexico",https://www.canyoudrinktapwaterin.com/is-carlsbad-tap-water-safe-to-drink-2/,
"Carson City","North America>United States of America>Nevada",https://www.canyoudrinktapwaterin.com/is-carson-city-tap-water-safe-to-drink/,50
Cartersville,"North America>United States of America>Georgia",https://www.canyoudrinktapwaterin.com/is-cartersville-tap-water-safe-to-drink/,
Cary,"North America>United States of America>North Carolina",https://www.canyoudrinktapwaterin.com/is-cary-tap-water-safe-to-drink/,
Casper,"North America>United States of America>Wyoming",https://www.canyoudrinktapwaterin.com/is-casper-tap-water-safe-to-drink/,50
"Cedar City","North America>United States of America>Utah",https://www.canyoudrinktapwaterin.com/is-cedar-city-tap-water-safe-to-drink/,
"Cedar Rapids","North America>United States of America>Iowa",https://www.canyoudrinktapwaterin.com/is-cedar-rapids-tap-water-safe-to-drink/,100
Centreville,"North America>United States of America>Virginia",https://www.canyoudrinktapwaterin.com/is-centreville-tap-water-safe-to-drink/,
Champaign,"North America>United States of America>Illinois",https://www.canyoudrinktapwaterin.com/is-champaign-tap-water-safe-to-drink/,67
Chandler,"North America>United States of America>Arizona",https://www.canyoudrinktapwaterin.com/is-chandler-tap-water-safe-to-drink/,55
"Chapel Hill","North America>United States of America>North Carolina",https://www.canyoudrinktapwaterin.com/is-chapel-hill-tap-water-safe-to-drink/,58
Charleston,"North America>United States of America>South Carolina",https://www.canyoudrinktapwaterin.com/is-charleston-tap-water-safe-to-drink-2/,45
Charleston,"North America>United States of America>West Virginia",https://www.canyoudrinktapwaterin.com/is-charleston-tap-water-safe-to-drink/,50
Charlotte,"North America>United States of America>North Carolina",https://www.canyoudrinktapwaterin.com/is-charlotte-tap-water-safe-to-drink/,67
Charlottesville,"North America>United States of America>Virginia",https://www.canyoudrinktapwaterin.com/is-charlottesville-tap-water-safe-to-drink/,42
Chattanooga,"North America>United States of America>Tennessee",https://www.canyoudrinktapwaterin.com/is-chattanooga-tap-water-safe-to-drink/,38
"Cherry Hill","North America>United States of America>New Jersey",https://www.canyoudrinktapwaterin.com/is-cherry-hill-tap-water-safe-to-drink/,
Chesapeake,"North America>United States of America>Virginia",https://www.canyoudrinktapwaterin.com/is-chesapeake-tap-water-safe-to-drink/,
Cheyenne,"North America>United States of America>Wyoming",https://www.canyoudrinktapwaterin.com/is-cheyenne-tap-water-safe-to-drink/,100
Chico,"North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-chico-tap-water-safe-to-drink/,50
"Chula Vista","North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-chula-vista-tap-water-safe-to-drink/,
Cincinnati,"North America>United States of America>Ohio",https://www.canyoudrinktapwaterin.com/is-cincinnati-tap-water-safe-to-drink/,56
"Citrus Heights","North America>United States of America>California",https://www.canyoudrinktapwaterin.com/is-citrus-heights-tap-water-safe-to-drink/,
Clarksville,"North America>United States of America>Tennessee",https://www.canyoudrinktapwaterin.com/is-clarksville-tap-water-safe-to-drink/,100
Clearwater,"North America>United States of America>Florida",https://www.canyoudrinktapwaterin.com/is-clearwater-tap-water-safe-to-drink/,75
Cleveland,"North America>United States of America>Ohio",https://www.canyoudrinktapwaterin.com/is-cleveland-tap-water-safe-to-drink/,48
Clifton,"North America>United States of America>New Jersey",https://www.canyoudrinktapwaterin.com/is-clifton-tap-water-safe-to-drink/,
"Clinton Township","North America>United States of America>Michigan",https://www.canyoudrinktapwaterin.com/is-clinton-township-tap-water-safe-to-drink/,
Clovis,"North America>United States of America>New Mexico",https://www.canyoudrinktapwaterin.com/is-clovis-tap-water-safe-to-drink/,
Cody,"North America>United States of America>Wyoming",https://www.canyoudrinktapwaterin.com/is-cody-tap-water-safe-to-drink/,
